Filename,Label
n_10_tile_(100_12),0
n_10_tile_(100_14),0
n_10_tile_(100_15),0
n_10_tile_(100_17),0
n_10_tile_(100_20),0
n_10_tile_(100_21),0
n_10_tile_(100_22),0
n_10_tile_(100_23),0
n_10_tile_(100_26),0
n_10_tile_(100_27),0
n_10_tile_(100_28),1
n_10_tile_(100_29),1
n_10_tile_(100_30),0
n_10_tile_(100_31),0
n_10_tile_(100_32),0
n_10_tile_(100_33),0
n_10_tile_(100_34),0
n_10_tile_(100_36),1
n_10_tile_(100_37),0
n_10_tile_(100_38),0
n_10_tile_(100_39),0
n_10_tile_(100_40),0
n_10_tile_(100_41),0
n_10_tile_(100_42),0
n_10_tile_(100_43),0
n_10_tile_(100_44),1
n_10_tile_(100_45),0
n_10_tile_(100_46),0
n_10_tile_(100_48),0
n_10_tile_(100_49),1
n_10_tile_(100_50),0
n_10_tile_(100_51),1
n_10_tile_(100_53),1
n_10_tile_(100_54),0
n_10_tile_(100_56),0
n_10_tile_(100_57),0
n_10_tile_(100_60),0
n_10_tile_(100_61),0
n_10_tile_(100_62),0
n_10_tile_(100_67),1
n_10_tile_(100_68),0
n_10_tile_(100_70),1
n_10_tile_(100_71),0
n_10_tile_(100_72),0
n_10_tile_(100_73),0
n_10_tile_(100_74),0
n_10_tile_(100_75),0
n_10_tile_(100_76),0
n_10_tile_(100_77),0
n_10_tile_(100_78),0
n_10_tile_(100_79),0
n_10_tile_(100_80),0
n_10_tile_(101_12),0
n_10_tile_(101_13),0
n_10_tile_(101_14),0
n_10_tile_(101_15),0
n_10_tile_(101_17),0
n_10_tile_(101_18),0
n_10_tile_(101_19),0
n_10_tile_(101_20),1
n_10_tile_(101_21),0
n_10_tile_(101_22),0
n_10_tile_(101_23),0
n_10_tile_(101_24),0
n_10_tile_(101_27),0
n_10_tile_(101_29),0
n_10_tile_(101_30),1
n_10_tile_(101_32),0
n_10_tile_(101_33),0
n_10_tile_(101_35),0
n_10_tile_(101_36),0
n_10_tile_(101_38),0
n_10_tile_(101_41),1
n_10_tile_(101_42),1
n_10_tile_(101_43),0
n_10_tile_(101_44),1
n_10_tile_(101_45),0
n_10_tile_(101_46),0
n_10_tile_(101_47),0
n_10_tile_(101_49),0
n_10_tile_(101_51),1
n_10_tile_(101_52),0
n_10_tile_(101_53),0
n_10_tile_(101_55),1
n_10_tile_(101_56),0
n_10_tile_(101_57),1
n_10_tile_(101_58),0
n_10_tile_(101_59),1
n_10_tile_(101_60),0
n_10_tile_(101_61),0
n_10_tile_(101_62),0
n_10_tile_(101_65),0
n_10_tile_(101_66),0
n_10_tile_(101_67),0
n_10_tile_(101_68),0
n_10_tile_(101_69),0
n_10_tile_(101_70),0
n_10_tile_(101_72),0
n_10_tile_(101_73),0
n_10_tile_(101_75),0
n_10_tile_(101_76),0
n_10_tile_(101_77),0
n_10_tile_(102_13),0
n_10_tile_(102_15),0
n_10_tile_(102_16),0
n_10_tile_(102_17),0
n_10_tile_(102_20),1
n_10_tile_(102_21),1
n_10_tile_(102_22),1
n_10_tile_(102_24),0
n_10_tile_(102_25),0
n_10_tile_(102_27),0
n_10_tile_(102_29),0
n_10_tile_(102_30),0
n_10_tile_(102_31),0
n_10_tile_(102_32),0
n_10_tile_(102_33),0
n_10_tile_(102_34),0
n_10_tile_(102_35),0
n_10_tile_(102_36),1
n_10_tile_(102_37),0
n_10_tile_(102_38),1
n_10_tile_(102_39),0
n_10_tile_(102_45),1
n_10_tile_(102_47),0
n_10_tile_(102_48),0
n_10_tile_(102_49),0
n_10_tile_(102_50),0
n_10_tile_(102_51),0
n_10_tile_(102_52),0
n_10_tile_(102_54),0
n_10_tile_(102_55),0
n_10_tile_(102_56),0
n_10_tile_(102_57),0
n_10_tile_(102_58),0
n_10_tile_(102_59),1
n_10_tile_(102_60),0
n_10_tile_(102_61),0
n_10_tile_(102_65),0
n_10_tile_(102_66),0
n_10_tile_(102_67),0
n_10_tile_(102_70),0
n_10_tile_(102_72),0
n_10_tile_(102_73),0
n_10_tile_(102_75),0
n_10_tile_(102_76),0
n_10_tile_(102_78),0
n_10_tile_(102_80),0
n_10_tile_(103_14),0
n_10_tile_(103_15),0
n_10_tile_(103_16),1
n_10_tile_(103_17),1
n_10_tile_(103_18),0
n_10_tile_(103_19),1
n_10_tile_(103_20),0
n_10_tile_(103_21),0
n_10_tile_(103_22),0
n_10_tile_(103_23),0
n_10_tile_(103_24),0
n_10_tile_(103_25),0
n_10_tile_(103_28),0
n_10_tile_(103_29),0
n_10_tile_(103_30),0
n_10_tile_(103_31),0
n_10_tile_(103_33),0
n_10_tile_(103_34),0
n_10_tile_(103_35),0
n_10_tile_(103_36),0
n_10_tile_(103_37),0
n_10_tile_(103_38),0
n_10_tile_(103_39),0
n_10_tile_(103_40),0
n_10_tile_(103_42),0
n_10_tile_(103_43),0
n_10_tile_(103_44),0
n_10_tile_(103_45),0
n_10_tile_(103_46),0
n_10_tile_(103_47),1
n_10_tile_(103_48),1
n_10_tile_(103_49),1
n_10_tile_(103_50),0
n_10_tile_(103_51),0
n_10_tile_(103_53),0
n_10_tile_(103_55),0
n_10_tile_(103_56),0
n_10_tile_(103_58),0
n_10_tile_(103_59),0
n_10_tile_(103_60),0
n_10_tile_(103_64),0
n_10_tile_(103_65),0
n_10_tile_(103_66),0
n_10_tile_(103_67),0
n_10_tile_(103_68),0
n_10_tile_(103_69),0
n_10_tile_(103_70),0
n_10_tile_(103_72),0
n_10_tile_(103_73),0
n_10_tile_(103_74),0
n_10_tile_(103_75),0
n_10_tile_(103_76),0
n_10_tile_(103_77),0
n_10_tile_(103_79),0
n_10_tile_(103_81),0
n_10_tile_(104_14),0
n_10_tile_(104_16),0
n_10_tile_(104_17),1
n_10_tile_(104_18),0
n_10_tile_(104_20),0
n_10_tile_(104_21),0
n_10_tile_(104_22),0
n_10_tile_(104_24),0
n_10_tile_(104_25),0
n_10_tile_(104_26),0
n_10_tile_(104_29),0
n_10_tile_(104_30),0
n_10_tile_(104_31),0
n_10_tile_(104_32),0
n_10_tile_(104_33),0
n_10_tile_(104_34),1
n_10_tile_(104_35),0
n_10_tile_(104_37),0
n_10_tile_(104_38),0
n_10_tile_(104_39),0
n_10_tile_(104_40),1
n_10_tile_(104_41),0
n_10_tile_(104_42),1
n_10_tile_(104_43),0
n_10_tile_(104_44),0
n_10_tile_(104_45),1
n_10_tile_(104_46),1
n_10_tile_(104_47),1
n_10_tile_(104_48),1
n_10_tile_(104_49),0
n_10_tile_(104_50),0
n_10_tile_(104_51),1
n_10_tile_(104_53),1
n_10_tile_(104_54),0
n_10_tile_(104_55),0
n_10_tile_(104_56),1
n_10_tile_(104_57),0
n_10_tile_(104_58),0
n_10_tile_(104_60),0
n_10_tile_(104_64),0
n_10_tile_(104_65),0
n_10_tile_(104_66),0
n_10_tile_(104_68),0
n_10_tile_(104_70),0
n_10_tile_(104_71),0
n_10_tile_(104_72),0
n_10_tile_(104_73),0
n_10_tile_(104_74),0
n_10_tile_(104_75),0
n_10_tile_(104_76),0
n_10_tile_(104_77),0
n_10_tile_(104_78),0
n_10_tile_(105_13),0
n_10_tile_(105_14),0
n_10_tile_(105_15),0
n_10_tile_(105_16),0
n_10_tile_(105_18),1
n_10_tile_(105_20),0
n_10_tile_(105_22),0
n_10_tile_(105_23),1
n_10_tile_(105_24),0
n_10_tile_(105_25),1
n_10_tile_(105_26),0
n_10_tile_(105_27),0
n_10_tile_(105_29),0
n_10_tile_(105_30),0
n_10_tile_(105_31),0
n_10_tile_(105_33),0
n_10_tile_(105_34),1
n_10_tile_(105_35),1
n_10_tile_(105_36),1
n_10_tile_(105_37),0
n_10_tile_(105_38),0
n_10_tile_(105_39),0
n_10_tile_(105_40),0
n_10_tile_(105_41),0
n_10_tile_(105_42),0
n_10_tile_(105_43),0
n_10_tile_(105_44),0
n_10_tile_(105_45),0
n_10_tile_(105_47),0
n_10_tile_(105_48),0
n_10_tile_(105_49),0
n_10_tile_(105_50),0
n_10_tile_(105_51),0
n_10_tile_(105_52),0
n_10_tile_(105_53),1
n_10_tile_(105_54),0
n_10_tile_(105_55),1
n_10_tile_(105_58),0
n_10_tile_(105_59),0
n_10_tile_(105_61),0
n_10_tile_(105_63),0
n_10_tile_(105_64),0
n_10_tile_(105_65),0
n_10_tile_(105_66),0
n_10_tile_(105_68),0
n_10_tile_(105_69),0
n_10_tile_(105_71),0
n_10_tile_(105_72),0
n_10_tile_(105_73),0
n_10_tile_(105_74),0
n_10_tile_(105_76),0
n_10_tile_(105_77),0
n_10_tile_(105_79),0
n_10_tile_(106_13),0
n_10_tile_(106_14),0
n_10_tile_(106_15),0
n_10_tile_(106_16),0
n_10_tile_(106_18),1
